Nom;prix;imageUrl
Bags 312 - Small backpack Switzerland;4.00;/images/products/bags/Bags312.jpg
Bags 313 - Big bag with cities in beige;5.00;/images/products/bags/Bags313.jpg
Bags 314 - Big bag with cities in blue;5.00;/images/products/bags/Bags314.jpg
Bags 315 - Banana bag Switzerland;3.00;/images/products/bags/Bags315.jpg
Bags 316 - Shoulder bag Switzerland;3.00;/images/products/bags/Bags316.jpg
Bags 324 - Backpack Switzerland;6.00;/images/products/bags/Bags324.jpg
Bags 350 - Tote bag I love Bern off-white;2.00;/images/products/bags/TBags350.jpg
Bags 352 - Tote bag I love Genève off-white;2.00;/images/products/bags/TBags352.jpg
Bags 354 - Tote bag I love Interlaken off-white;2.00;/images/products/bags/TBags354.jpg
Bags 355 - Tote bag I love Lausanne off-white;2.00;/images/products/bags/TBags355.jpg
Bags 356 - Tote bag I love Luzern off-white;2.00;/images/products/bags/TBags356.jpg
Bags 358 - Tote bag I love Zermatt off-white;2.00;/images/products/bags/TBags358.jpg
Bags 359 - Tote bag I love Zürich off-white;2.00;/images/products/bags/TBags359.jpg
Bags 360 - Tote bag I love Swiss off-white;2.00;/images/products/bags/TBags360.jpg
Bags 361 - Tote bag I love Bern black;2.00;/images/products/bags/TBags361.jpg
Bags 362 - Tote bag I love Crans-Montana black;2.00;/images/products/bags/TBags362.jpg
Bags 363 - Tote bag I love Genève black;2.00;/images/products/bags/TBags363.jpg
Bags 364 - Tote bag I love Gruyères off-white;2.00;/images/products/bags/TBags364.jpg
Bags 366 - Tote bag I love Lausanne black;2.00;/images/products/bags/TBags366.jpg
Bags 367 - Tote bag I love Luzern black;2.00;/images/products/bags/TBags367.jpg
Bags 369 - Tote bag I love Zermatt;2.00;/images/products/bags/TBags369.jpg
Bags 371 - Tote bag i love Swiss black;2.00;/images/products/bags/TBags371.jpg
Bags 400 - Backpack Switzerland Red;6.00;/images/products/bags/Bags400.jpg
Bags 400 - Tote bag Bern;2.50;/images/products/bags/TBags400.jpg
Bags 401 - Tote bag Lausanne;2.50;/images/products/bags/TBags401.jpg
Bags 402 - Tote bag Genève;2.50;/images/products/bags/TBags402.jpg
Bags 402 - Backpack Switzerland Black;6.00;/images/products/bags/Bags402.jpg
Bags 403 - Tote bag Interlaken;2.50;/images/products/bags/TBags403.jpg
Bags 405 - Tote bag Luzern;2.50;/images/products/bags/TBags405.jpg
Bags 407 - Tote bag Zürich;2.50;/images/products/bags/TBags407.jpg
Bags 408 - Tote bag Rheinfall;2.50;/images/products/bags/TBags408.jpg
Bags 409 - Tote bag Interlaken train;2.50;/images/products/bags/TBags409.jpg
Bags 410 - Tote bag Genève clock;2.50;/images/products/bags/TBags410.jpg
Bags 411 - Tote bag Bern bear;2.50;/images/products/bags/TBags411.jpg
Bags 412 - Tote bag Einstein blanc;2.50;/images/products/bags/TBags412.jpg
Bags 413 - Tote bag Einstein noir;2.50;/images/products/bags/TBags413.jpg
