Nom;prix;imageUrl
Gadget 1 - snowball cow;3.00;/images/products/gadget/Gadget1.jpg
Gadget 2 - snowball cathedral Lausanne;3.00;/images/products/gadget/Gadget2.jpg
Gadget 3 - snowball Zermatt;3.00;/images/products/gadget/Gadget3.jpg
Gadget 4 - snowball Water jet Genève;3.00;/images/products/gadget/Gadget4.jpg
Gadget 5 - snowball marmot;3.00;/images/products/gadget/Gadget5.jpg
Gadget 6 - snowball alphorn;3.00;/images/products/gadget/Gadget6.jpg
Gadget 7 - snowball Saint-Bernard;3.00;/images/products/gadget/Gadget7.jpg
Gadget 8 - Poya mug;2.00;/images/products/gadget/Gadget8.jpg
Gadget 9 - Switzerland cow mug;2.00;/images/products/gadget/Gadget9.jpg
Gadget 10 - switzerland mug;2.00;/images/products/gadget/Gadget10.jpg
Gadget 11 - Switzerland karabiner mug;3.00;/images/products/gadget/Gadget11.jpg
Gadget 13 - i love swiss mug;2.00;/images/products/gadget/Gadget13.jpg
Gadget 14 - Switzerland flag relief mug;4.00;/images/products/gadget/Gadget14.jpg
Gadget 15 - sbot glass swiss flag;1.20;/images/products/gadget/Gadget15.jpg
Gadget 16 - red shot glass swiss;1.20;/images/products/gadget/Gadget16.jpg
Gadget 17 - shot glass swiss flag round;1.20;/images/products/gadget/Gadget17.jpg
Gadget 18 - shot glass swiss flag straight;1.20;/images/products/gadget/Gadget18.jpg
Gadget 19 - shot glass straight;1.20;/images/products/gadget/Gadget19.jpg
Gadget 20 - shot glass round;1.20;/images/products/gadget/Gadget20.jpg
Gadget 30 - Swiss ashtray;2.00;/images/products/gadget/Gadget30.jpg
Gadget 31 - Cow mug;3.00;/images/products/gadget/Gadget31.jpg
Gadget 37 - Cow ashtray;3.00;/images/products/gadget/Gadget37.jpg
Gadget 38 - cow ashtray;3.00;/images/products/gadget/Gadget38.jpg
Gadget 39 - cow porcelaine;4.00;/images/products/gadget/Gadget39.jpg
Gadget 40 - kitchen set;5.00;/images/products/gadget/Gadget40.jpg
Gadget 45 - Cow jar;3.00;/images/products/gadget/Gadget45.jpg
Gadget 46 - i love switzerland sunglasses;5.00;/images/products/gadget/Gadget46.jpg
Gadget 47 - i love valais sunglasses;5.00;/images/products/gadget/Gadget47.jpg
Gadget 49 - Thermos flask swiss flask;6.00;/images/products/gadget/Gadget49.jpg
Gadget 50 - thermos flask swiss flag;7.00;/images/products/gadget/Gadget50.jpg
Gadget 51 - Switzerland bottle;3.00;/images/products/gadget/Gadget51.jpg
Gadget 52 - Switzerland bottle;8.00;/images/products/gadget/Gadget52.jpg
Gadget 52 - swiss reusable steel water bootle;4.00;/images/products/gadget/Gadget52.jpg
Gadget 53 - Swiss leather hip flask;4.00;/images/products/gadget/Gadget53.jpg
Gadget 54 - box set 4 swiss;6.00;/images/products/gadget/Gadget54.jpg
Gadget 56 - poya salt and pepper;3.00;/images/products/gadget/Gadget56.jpg
Gadget 57 - Swiss piggy bank;4.00;/images/products/gadget/Gadget57.jpg
Gadget 58 - cow piggy bank;4.00;/images/products/gadget/Gadget58.jpg
Gadget 59 - cow salt and pepper;3.00;/images/products/gadget/Gadget59.jpg
Gadget 61 - i love swiss pins;0.80;/images/products/gadget/Gadget61.jpg
Gadget 62 - swiss flag pins;0.80;/images/products/gadget/Gadget62.jpg
Gadget 79 - poya glove oven;3.00;/images/products/gadget/Gadget79.jpg
Gadget 80 - poya cloth oven black;2.50;/images/products/gadget/Gadget80.jpg
Gadget 81 - Swiss poya  apron black or red;5.00;/images/products/gadget/Gadget81.jpg
Gadget 82 - poya apron white;3.00;/images/products/gadget/Gadget82.jpg
Gadget 83 - poya cloth oven black;3.00;/images/products/gadget/Gadget83.jpg
Gadget 84 - i love switzerland salt and pepper;3.00;/images/products/gadget/Gadget84.jpg
Gadget 85 - St-bernard salt and pepper;3.00;/images/products/gadget/Gadget85.jpg
Gadget 94 - double sided scarf;3.00;/images/products/gadget/Gadget94.jpg
Gadget 95 - 100x100cm swiss flag;4.00;/images/products/gadget/Gadget95.jpg
Gadget 96 - 150x150cm swiss flag;5.00;/images/products/gadget/Gadget96.jpg
Gadget 97 - 40x40cm swiss flag stick;1.50;/images/products/gadget/Gadget97.jpg
Gadget 98 - 25x25cm swiss flag stick;1.00;/images/products/gadget/Gadget98.jpg
Gadget 99 - 60x60cm swiss flag stick;2.00;/images/products/gadget/Gadget99.jpg
Gadget 100 - Valais flag;5.00;/images/products/gadget/Gadget100.jpg
Gadget 108 - hot water bottle with knitted cover;10.00;/images/products/gadget/Gadget108.jpg
Gadget 109 - hot water bottle with knitted cover;10.00;/images/products/gadget/Gadget109.jpg
Gadget 115 - snowball zytglogge;3.00;/images/products/gadget/Gadget115.jpg
Gadget 117 - snowball lion lucerne;3.00;/images/products/gadget/Gadget117.jpg
Gadget 119 - snowball grossmunster Zürich;3.00;/images/products/gadget/Gadget119.jpg
Gadget 120 - snowball Chillon Montreux;3.00;/images/products/gadget/Gadget120.jpg
Gadget 121 - snowball zytglogge bern;3.00;/images/products/gadget/Gadget121.jpg
Gadget 123 - Snowball Rheinfall;3.00;/images/products/gadget/Gadget123.jpg
Gadget 125 - winter gloves;5.00;/images/products/gadget/Gadget125.jpg
Gadget 132 - Swiss tray;4.00;/images/products/gadget/Gadget132.jpg
Gadget 137 - Switzerland flag hip flask;4.00;/images/products/gadget/Gadget137.jpg
Gadget 150 - 7cm round mirror;2.00;/images/products/gadget/Gadget150.jpg
Gadget 151 - 8x6cm rectangular mirror;2.00;/images/products/gadget/Gadget151.jpg
Gadget 152 - 5x4cm jewellery box;2.00;/images/products/gadget/Gadget152.jpg
Gadget 153 - 10x8cm cigaret case;3.00;/images/products/gadget/Gadget153.jpg
Gadget 153 - 11x6cm manucure set;3.00;/images/products/gadget/Gadget153.jpg
Gadget 154 - Square-packet;3.00;/images/products/gadget/Gadget154.jpg
Gadget 156 - 11x8cm pencil bag zip ring;2.00;/images/products/gadget/Gadget156.jpg
Gadget 161 - 10x6cm pencil bag zip ring button;3.00;/images/products/gadget/Gadget161.jpg
Gadget 165 - 5x8 purse ring;3.00;/images/products/gadget/Gadget165.jpg
Gadget 166 - 25x18 Tissue pocket;4.00;/images/products/gadget/Gadget166.jpg
Gadget 167 - lipstick;2.00;/images/products/gadget/Gadget167.jpg
Gadget 167 - Swiss pattern apron MM;6.00;/images/products/gadget/Gadget167.jpg
Gadget 168 - 45x45 cm pillow cover;5.00;/images/products/gadget/Gadget168.jpg
Gadget 169 - 45x30 cm table mat;4.00;/images/products/gadget/Gadget169.jpg
Gadget 170 - 38x48 nylon bag;4.00;/images/products/gadget/Gadget170.jpg
Gadget 173 - poya bag with envelope;2.50;/images/products/gadget/Gadget173.jpg
Gadget 174 - 38x48 cm cotton bag;6.00;/images/products/gadget/Gadget174.jpg
Gadget 175 - Pins Bern;0.80;/images/products/gadget/Gadget175.jpg
Gadget 176 - Pins Genève;0.80;/images/products/gadget/Gadget176.jpg
Gadget 177 - Pins Valais;0.80;/images/products/gadget/Gadget177.jpg
Gadget 178 - jeux de cartes;1.70;/images/products/gadget/Gadget178.jpg
Gadget 179 - mini box Switzerland;2.00;/images/products/gadget/Gadget179.jpg
Gadget 180 - Mirror edelweisse box;2.00;/images/products/gadget/Gadget180.jpg
Gadget 181 - Pins Grisons;0.80;/images/products/gadget/Gadget181.jpg
Gadget 182 - Pins Zürich;0.80;/images/products/gadget/Gadget182.jpg
Gadget 185 - mini duck yellow / red;;/images/products/gadget/Gadget185.jpg
Gadget 186 - Large duck yellow / red;;/images/products/gadget/Gadget186.jpg
Gadget 187 - Bath linen Switzerland;5.00;/images/products/gadget/Gadget187.jpg
Gadget 188 - Nylon bag dog with envelope;2.50;/images/products/gadget/Gadget188.jpg
Gadget 189 - Nylon bag cow with envelope;2.50;/images/products/gadget/Gadget189.jpg
Gadget 202 - poya grey umbrella;6.00;/images/products/gadget/Gadget202.jpg
Gadget 203 - black switzerland umbrella;4.00;/images/products/gadget/Gadget203.jpg
Gadget 204 - poya red umbrella;6.00;/images/products/gadget/Gadget204.jpg
Gadget 205 - swiss pattern umbrella;6.00;/images/products/gadget/Gadget205.jpg
Gadget 206 - switzerland umbrella;4.00;/images/products/gadget/Gadget206.jpg
Gadget 208 - swiss adult socks;;/images/products/gadget/Gadget208.jpg
Gadget 211 - swiss sport scarf;;/images/products/gadget/Gadget211.jpg
Gadget 212 - zermatt sport scarf;4.00;/images/products/gadget/Gadget212.jpg
Gadget 213 - poya sport scarf;4.00;/images/products/gadget/Gadget213.jpg
Gadget 214 - edelweiss sport scarf;4.00;/images/products/gadget/Gadget214.jpg
