Nom;prix;imageUrl
Hats 1 B - Swiss flag striped beanie black;3.50;/images/products/hats/B1.jpg
Hats 2 B - Swiss flag striped beanie pink;3.50;/images/products/hats/B2.jpg
Hats 3 B - Swiss flag striped beanie marine;3.50;/images/products/hats/B3.jpg
Hats 4 B - Swiss flag striped beanie red;3.50;/images/products/hats/B4.jpg
Hats 5 B - Switzerland black wooly hat;6.00;/images/products/hats/B5.jpg
Hats 6 B - Switzerland red wooly hat;6.00;/images/products/hats/B6.jpg
Hats 7 B - Red woolly hat;5.00;/images/products/hats/B7.jpg
Hats 8 B - Switzerland grey beanie;3.50;/images/products/hats/B8.jpg
Hats 9 B - Swiss Mountain;5.00;/images/products/hats/B9.jpg
Hats 10 B - Switzerland;6.00;/images/products/hats/B10.jpg
Hats 13 B - Switzerland blue;5.00;/images/products/hats/B13.jpg
Hats 14 B - Switzerland green;5.00;/images/products/hats/B14.jpg
Hats 15 B - Switzerland light blue;5.00;/images/products/hats/B15.jpg
Hats 16 B - Switzerland bear;5.00;/images/products/hats/B16.jpg
Hats 17 B - Switzerland;5.00;/images/products/hats/B17.jpg
Hats 18 B - Black - Swiss Mountain;3.00;/images/products/hats/B18.jpg
Hats 19 B - Red - Swiss Mountain;3.00;/images/products/hats/B19.jpg
Hats 20 B - Navy blue - Swiss Mountain;3.00;/images/products/hats/B20.jpg
Hats 21 B - Pink - Swiss Mountain;3.00;/images/products/hats/B21.jpg
