Nom;prix;imageUrl
Magnet 1 - Genève water jet relief (horloge);1.70;/images/products/magnet/M1.jpg
Magnet 2 - Genève water jet relief;1.70;/images/products/magnet/M2.jpg
Magnet 3 - Genève boat relief;1.70;/images/products/magnet/M3.jpg
Magnet 4 - Lake boat relief;1.70;/images/products/magnet/M4.jpg
Magnet 5 - Saas Fee city snow relief;1.70;/images/products/magnet/M5.jpg
Magnet 6 - Lausanne City relief;1.70;/images/products/magnet/M6.jpg
Magnet 9 - Matterhorn Valais;1.70;/images/products/magnet/M9.jpg
Magnet 10 - Matterhorn;1.70;/images/products/magnet/M10.jpg
Magnet 11 - Matterhorn Switzerland;1.70;/images/products/magnet/M11.jpg
Magnet 12 - Zermatt Matterhorn;1.70;/images/products/magnet/M12.jpg
Magnet 13 - Cartoon cow;2.00;/images/products/magnet/M13.jpg
Magnet 14 - Big bell;3.00;/images/products/magnet/M14.jpg
Magnet 15 - Luzern Kapellbrücke;1.70;/images/products/magnet/M15.jpg
Magnet 16 - Luzern Kapellbrücke;1.70;/images/products/magnet/M16.jpg
Magnet 17 - Fidget Spinner cows;2.60;/images/products/magnet/M17.jpg
Magnet 18 - Lausanne-Ouchy harbour;1.70;/images/products/magnet/M18.jpg
Magnet 19 - Montreux Castle boat;1.70;/images/products/magnet/M19.jpg
Magnet 20 - Montreux Chillon castle;1.70;/images/products/magnet/M20.jpg
Magnet 22 - Montreux Chillon castle boat;1.70;/images/products/magnet/M22.jpg
Magnet 25 - Gruyères Switzerland round;1.70;/images/products/magnet/M25.jpg
Magnet 26 - Gruyères Street;1.70;/images/products/magnet/M26.jpg
Magnet 27 - Grimentz town Valais;1.70;/images/products/magnet/M27.jpg
Magnet 28 - Grimentz town flowers;1.70;/images/products/magnet/M28.jpg
Magnet 29 - Rheinfall boat;1.70;/images/products/magnet/M29.jpg
Magnet 30 - Crans-Montana landscape;1.70;/images/products/magnet/M30.jpg
Magnet 32 - Crans-Montana under snow;1.70;/images/products/magnet/M32.jpg
Magnet 34 - Davos skiing;1.70;/images/products/magnet/M34.jpg
Magnet 35 - St-Moritz cable car cabin;1.70;/images/products/magnet/M35.jpg
Magnet 36 - St-Moritz skiing;1.70;/images/products/magnet/M36.jpg
Magnet 37 - Morgins relief;1.70;/images/products/magnet/M37.jpg
Magnet 38 - Cabin and cable car relief;1.70;/images/products/magnet/M38.jpg
Magnet 39 - Cabin and cable car relief;1.70;/images/products/magnet/M39.jpg
Magnet 40 - Dookie long legs black;1.70;/images/products/magnet/M40.jpg
Magnet 42 - St-Bernard and puppies;1.70;/images/products/magnet/M42.jpg
Magnet 48 - Marmot on green grass;1.70;/images/products/magnet/M48.jpg
Magnet 49 - cuckoo clock;4.00;/images/products/magnet/M49.jpg
Magnet 53 - Swiss Chocolate Red;1.70;/images/products/magnet/M53.jpg
Magnet 54 - Swiss Chocolate Purple;1.70;/images/products/magnet/M54.jpg
Magnet 55 - Switzerland Raclette;1.70;/images/products/magnet/M55.jpg
Magnet 56 - Swiss Fondue Caquelon;1.70;/images/products/magnet/M56.jpg
Magnet 57 - Dookie eating fondue;1.70;/images/products/magnet/M57.jpg
Magnet 58 - Switzerland Lugano;1.70;/images/products/magnet/M58.jpg
Magnet 59 - Dookie head with flower;1.70;/images/products/magnet/M59.jpg
Magnet 60 - bottle-opener dookie flower;2.00;/images/products/magnet/M60.jpg
Magnet 61 - bottle-opener pint;2.00;/images/products/magnet/M61.jpg
Magnet 62 - Gold lingot;1.70;/images/products/magnet/M62.jpg
Magnet 63 - Toblerone;1.70;/images/products/magnet/M63.jpg
Magnet 64 - Poya Switzerland;1.70;/images/products/magnet/M64.jpg
Magnet 66 - Moon Boot Switzerland;1.70;/images/products/magnet/M66.jpg
Magnet 67 - Red Cow;1.70;/images/products/magnet/M67.jpg
Magnet 68 - Rippling swiss flag;1.70;/images/products/magnet/M68.jpg
Magnet 69 - Bell Switzerland;1.70;/images/products/magnet/M69.jpg
Magnet 71 - cuckoo thermometer;1.70;/images/products/magnet/M71.jpg
Magnet 72 - cuckoo thermometer;1.70;/images/products/magnet/M72.jpg
Magnet 73 - cuckoo;1.70;/images/products/magnet/M73.jpg
Magnet 74 - cuckoo thermometer;1.70;/images/products/magnet/M74.jpg
Magnet 75 - cuckoo;1.70;/images/products/magnet/M75.jpg
Magnet 76 - cuckoo;1.70;/images/products/magnet/M76.jpg
Magnet 77 - cuckoo;1.70;/images/products/magnet/M77.jpg
Magnet 78 - Jungfraujoch cuckoo;1.70;/images/products/magnet/M78.jpg
Magnet 79 - cuckoo;1.70;/images/products/magnet/M79.jpg
Magnet 80 - cuckoo thermometer;1.70;/images/products/magnet/M80.jpg
Magnet 81 - Genève cuckoo;1.70;/images/products/magnet/M81.jpg
Magnet 82 - Gruyères cuckoo;1.70;/images/products/magnet/M82.jpg
Magnet 83 - Jungfraujoch;1.70;/images/products/magnet/M83.jpg
Magnet 84 - Jungfraujoch;1.70;/images/products/magnet/M84.jpg
Magnet 85 - Lausanne;1.70;/images/products/magnet/M85.jpg
Magnet 86 - Lausanne harbour;1.70;/images/products/magnet/M86.jpg
Magnet 87 - Luzern Kapellbrücke;1.70;/images/products/magnet/M87.jpg
Magnet 88 - Rheinfall;1.70;/images/products/magnet/M88.jpg
Magnet 89 - Schilthorn;1.70;/images/products/magnet/M89.jpg
Magnet 90 - cuckoo;1.70;/images/products/magnet/M90.jpg
Magnet 91 - Zürich Switzerland Limmat;1.70;/images/products/magnet/M91.jpg
Magnet 92 - Piz Gloria Schilthorn;1.70;/images/products/magnet/M92.jpg
Magnet 93 - cuckoo thermometer;1.70;/images/products/magnet/M93.jpg
Magnet 94 - cuckoo / Swiss Vapeur Parc MM;1.70;/images/products/magnet/M94.jpg
Magnet 95 - cuckoo;1.70;/images/products/magnet/M95.jpg
Magnet 96 - Chillon castle cuckoo;1.70;/images/products/magnet/M96.jpg
Magnet 97 - Bern Switzerland cuckoo bear;1.70;/images/products/magnet/M97.jpg
Magnet 98 - Bern Switzerland Zytglogge;1.70;/images/products/magnet/M98.jpg
Magnet 99 - Morcote City;1.70;/images/products/magnet/M99.jpg
Magnet 100 - Simplon Pass eagle statue;1.70;/images/products/magnet/M100.jpg
Magnet 101 - Cathedral Lausanne;1.70;/images/products/magnet/M101.jpg
Magnet 102 - St-Bernard and puppies;1.70;/images/products/magnet/M102.jpg
Magnet 103 - Les Pacots ski club;1.70;/images/products/magnet/M103.jpg
Magnet 104 - Jungfraujoch relief;1.70;/images/products/magnet/M104.jpg
Magnet 105 - Verbier snow Switzerland;1.70;/images/products/magnet/M105.jpg
Magnet 106 - City view;1.70;/images/products/magnet/M106.jpg
Magnet 107 - Bundeshaus;1.70;/images/products/magnet/M107.jpg
Magnet 108 - Zytglogge;1.70;/images/products/magnet/M108.jpg
Magnet 109 - Zytglogge;1.70;/images/products/magnet/M109.jpg
Magnet 110 - Zytglogge;1.70;/images/products/magnet/M110.jpg
Magnet 111 - Bear and cub tree;1.70;/images/products/magnet/M111.jpg
Magnet 112 - Bern bear MM;1.70;/images/products/magnet/M112.jpg
Magnet 113 - Zytglogge relief MM;1.70;/images/products/magnet/M113.jpg
Magnet 114 - Bern badge MM;1.70;/images/products/magnet/M114.jpg
Magnet 115 - St-Moritz;1.70;/images/products/magnet/M115.jpg
Magnet 116 - Bottle-opener;2.00;/images/products/magnet/M116.jpg
Magnet 116-FIG - Bear figurine FIG;3.00;/images/products/magnet/M116-FIG.jpg
Magnet 117 - Water jet Genève;1.70;/images/products/magnet/M117.jpg
Magnet 117-FIG - Bear figurine FIG;3.00;/images/products/magnet/M117-FIG.jpg
Magnet 118 - City Cathedral relief MM;1.70;/images/products/magnet/M118.jpg
Magnet 119 - Chillon castle MM;1.70;/images/products/magnet/M119.jpg
Magnet 120 - Swiss badge MM;1.70;/images/products/magnet/M120.jpg
Magnet 121 - Valais badge MM;1.70;/images/products/magnet/M121.jpg
Magnet 122 - Flag. cow. edelweis. bell MM;2.00;/images/products/magnet/M122.jpg
Magnet 123 - Matterhorn red letters;1.70;/images/products/magnet/M123.jpg
Magnet 124 - I love Luzern MM;1.70;/images/products/magnet/M124.jpg
Magnet 125 - I love Zermatt MM;1.70;/images/products/magnet/M125.jpg
Magnet 126 - I love Genève water jet MM;1.70;/images/products/magnet/M126.jpg
Magnet 127 - Cuckoo;1.70;/images/products/magnet/M127.jpg
